endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
38,46,12682,187.838468332345,0.02,0.006
38,48,13123,226.336690958144,0.035,0.007
38,50,13938,258.346376094955,0.046,0.006
38,52,14734,265.984198272042,0.06,0.006
38,54,14848,254.768773511939,0.101,0.009
38,56,15236,247.91619585407,0.188,0.016
36,42,10784,129.407007013374,0.006,0.003
36,44,10022,135.075122905323,0.016,0.006
36,46,10448,150.580857130197,0.031,0.009
36,48,10990,178.997360295221,0.042,0.009
36,50,11296,208.798772467076,0.038,0.007
36,52,12500,224.711075508632,0.036,0.006
36,54,13175,227.850984133297,0.06,0.007
36,56,13424,232.012141273836,0.118,0.013
36,58,13289,239.978214005733,0.201,0.024
34,40,8711,115.715124912823,0.003,0.002
34,42,8906,109.648933190826,0.008,0.003
34,44,8904,105.449062088143,0.018,0.008
34,46,8904,110.305759078911,0.031,0.012
34,48,9337,130.377150721389,0.036,0.012
34,50,10471,159.076820736987,0.027,0.008
34,52,11279,183.643988561662,0.018,0.005
34,54,11791,200.275522876546,0.023,0.005
34,56,11455,213.290904582426,0.043,0.008
34,58,11602,221.532642372838,0.075,0.014
34,60,11718,216.115934555555,0.099,0.02
32,40,7135,94.2757710147574,0.002,0.001
32,42,6955,84.6241140889609,0.006,0.003
32,44,7515,75.4588516939968,0.012,0.007
32,46,8217,75.1590713494265,0.018,0.012
32,48,8221,90.8319712819148,0.018,0.012
32,50,9081,117.874859639227,0.012,0.007
32,52,9229,144.802928649393,0.006,0.004
32,54,9635,165.570353781699,0.005,0.003
32,56,9680,180.924724302801,0.01,0.004
32,58,9955,189.670058613081,0.017,0.007
32,60,9939,186.158649663388,0.025,0.009
32,62,9472,167.177545772877,0.023,0.01
30,38,5627,76.7773592913599,0.002,0.003
30,40,5717,66.3934778567662,0.001,0.002
30,42,5890,57.3756383533477,0.002,0.003
30,44,6030,49.983957844679,0.004,0.006
30,46,6549,52.0150846119845,0.005,0.009
30,48,7511,68.7134093470764,0.005,0.008
30,50,7680,93.9320740928738,0.003,0.004
30,52,8668,116.059158924648,0.001,0.002
30,54,8247,130.282417261018,0.001,0.002
30,56,8102,140.612288681433,0.002,0.002
30,58,7918,148.868052669619,0.005,0.004
30,60,8166,149.710561773228,0.006,0.005
30,62,7692,137.409531506177,0.006,0.005
28,38,4711,52.9128546733214,0.006,0.007
28,40,5354,41.277902262774,0.002,0.005
28,42,4799,33.7791866683845,0.001,0.003
28,44,5758,31.6450076384412,0.001,0.004
28,46,5852,40.306068374064,0.001,0.004
28,48,5739,61.6324425078728,0.001,0.003
28,50,6290,86.8893641722384,0,0.002
28,52,6714,103.427645302959,0,0.001
28,54,6573,108.646365417893,0.001,0.002
28,56,6697,111.085774262475,0.004,0.004
28,58,6659,115.818269984774,0.007,0.006
28,60,6761,116.983774032731,0.008,0.007
28,62,6481,107.726741632648,0.005,0.007
26,38,4392,38.5796166797053,0.011,0.014
26,40,4790,25.2458048642067,0.003,0.012
26,42,4659,18.396491040731,0.001,0.007
26,44,4091,19.7795470550292,0,0.003
26,46,4611,32.7343860634665,0,0.001
26,48,4772,56.9529588860599,0,0.001
26,50,4625,83.0935087411088,0,0.001
26,52,5182,98.6208073116466,0.001,0.001
26,54,5043,101.139302240479,0.004,0.004
26,56,5442,99.8685143147428,0.013,0.01
26,58,6105,100.298969651006,0.025,0.016
26,60,6073,96.9272245664537,0.026,0.019
26,62,5927,85.5181869468191,0.015,0.018
24,38,3689,29.5179007507098,0.012,0.02
24,40,3406,17.1923801451812,0.003,0.019
24,42,3412,10.7686507182115,0.001,0.012
24,44,3407,12.2767392789556,0,0.003
24,46,3700,23.8291588054069,0,0.001
24,48,4075,45.2303003280645,0,0
24,50,3929,69.5943815921296,0,0.001
24,52,4064,86.7188926628215,0.002,0.002
24,54,3926,93.2117192753464,0.009,0.007
24,56,4434,94.47208254531,0.031,0.017
24,58,4713,93.2351356947627,0.059,0.029
24,60,4711,85.2787628329031,0.064,0.037
24,62,4681,70.9496167377179,0.037,0.036
22,38,3140,22.9608660067863,0.007,0.02
22,40,2696,14.7251560861031,0.002,0.018
22,42,2575,9.1393000572558,0,0.011
22,44,2569,8.42643680135398,0,0.003
22,46,2598,14.7748652908789,0,0
22,48,2957,28.8984106697952,0,0
22,50,2954,47.3021378061095,0,0.001
22,52,2948,63.4987250095865,0.002,0.004
22,54,3366,73.7649211379134,0.011,0.011
22,56,4016,78.9309693856412,0.037,0.024
22,58,4156,78.5658692762842,0.073,0.041
22,60,4154,70.1225391363391,0.081,0.053
22,62,3758,57.3311870085405,0.048,0.052
20,40,2281,18.7351982183942,0.001,0.008
20,42,2045,13.4175151657534,0,0.004
20,44,2175,9.25553279292403,0,0.002
20,46,1893,9.56075336502388,0,0
20,48,2172,15.6639471482471,0,0
20,50,1991,25.9754441318568,0,0.002
20,52,2124,37.0843502298689,0.001,0.005
20,54,2666,46.2217191255724,0.006,0.014
20,56,3447,52.0688864776873,0.022,0.03
20,58,3188,52.9297778543603,0.045,0.049
20,60,3467,48.0255246726747,0.051,0.063
20,62,3294,41.8454042347306,0.03,0.058
18,42,1509,22.2217090632695,0,0.001
18,44,1751,14.4377782969841,0,0
18,46,1469,9.92748321825108,0,0
18,48,1612,9.89723014127467,0,0
18,50,1752,12.9560784001193,0,0.002
18,52,1710,17.4758630195353,0,0.006
18,54,1840,22.1999478270035,0.002,0.017
18,56,2343,25.8934260604188,0.006,0.035
18,58,2483,27.3148328362789,0.014,0.055
18,60,2491,26.8262829709339,0.016,0.064
16,42,1259,29.5390490294473,0,0
16,44,1364,20.5623974321249,0,0
16,46,1607,14.4154374897739,0,0
16,48,1468,11.216521499074,0,0
16,50,1612,9.22021289720958,0,0.001
16,52,1884,8.24883707136652,0,0.005
16,54,1741,8.63951275556646,0,0.017
16,56,1946,9.91670162431376,0.001,0.036
16,58,2214,11.4082948738477,0.002,0.052
14,46,1244,19.2020433533394,0,0
14,48,1216,15.711432431498,0,0
14,50,1744,10.8649082367454,0,0
14,52,1608,6.24610480624258,0,0.002
14,54,1605,3.89941165026234,0,0.011
14,56,1711,3.96198876171629,0,0.025
28,70,4138,53.0591710175767,0.011,0.017
28,72,3464,42.3977187322244,0.011,0.021
28,74,2906,29.2955657601823,0.005,0.022
28,76,2351,17.7395086847015,0.001,0.017
28,78,1791,9.85625536602232,0,0.011
28,80,1422,4.91943792897196,0,0.005
26,66,5242,65.6202143645681,0.005,0.012
26,68,4130,64.1270910580233,0.013,0.017
26,70,3581,59.6455218670344,0.024,0.024
26,72,3063,46.9510138675228,0.023,0.03
26,74,2500,29.5794408601938,0.011,0.033
26,76,1666,14.8934924093849,0.003,0.032
26,78,1511,6.3245543693474,0,0.026
26,80,1161,2.4115287963716,0,0.016
24,64,4781,60.4164751180625,0.012,0.026
24,66,3878,60.4114186843205,0.006,0.018
24,68,3571,64.3658325769101,0.015,0.019
24,70,3161,60.7927089342503,0.027,0.026
24,72,2786,46.4713476179046,0.026,0.033
24,74,1948,27.8508389314089,0.013,0.039
24,76,1670,13.0029970754243,0.003,0.04
24,78,1139,4.79674057785833,0,0.037
24,80,886,1.45695041299973,0,0.029
22,64,3440,50.8372969142591,0.015,0.035
22,66,2797,54.555016694101,0.005,0.019
22,68,2766,59.3353252602872,0.009,0.017
22,70,2664,54.6985557100024,0.016,0.022
22,72,2146,40.5719872779045,0.015,0.029
22,74,1589,24.3307957847798,0.007,0.034
22,76,1168,11.9533189427434,0.002,0.034
22,78,1028,4.82683736525863,0,0.028
22,80,1028,1.58365354243568,0,0.02
20,64,3043,41.8779703790957,0.01,0.034
20,66,2650,48.3484420229967,0.003,0.015
20,68,2511,52.3520015459236,0.003,0.011
20,70,2009,47.1783829975216,0.005,0.014
20,72,1589,35.4973201153767,0.005,0.018
20,74,1308,23.3809720968328,0.002,0.019
20,76,1308,13.6497683897229,0,0.016
20,78,1308,6.70880785464865,0,0.011
20,80,1028,2.57579551276321,0,0.007
18,62,2589,27.9287469616907,0.01,0.05
18,64,2366,33.9477916670278,0.003,0.024
18,66,2367,42.2732743882297,0.001,0.009
18,68,2129,45.9601509313413,0.001,0.005
18,70,2001,42.2334489829184,0.001,0.006
18,72,1444,34.5354471632033,0.001,0.007
18,74,1305,26.2319172984037,0,0.006
18,76,1305,17.6877836418635,0,0.004
18,78,1305,9.63143028271475,0,0.003
18,80,1025,3.93122680143855,0,0.002
16,62,2129,18.5237311959942,0.001,0.03
16,64,2134,26.6408194775122,0,0.012
16,66,2134,34.9650940556163,0,0.004
16,68,1990,39.3448267319744,0,0.002
16,70,1576,38.9315232506416,0,0.002
16,72,1437,35.4614520455785,0,0.002
16,74,1305,29.4588883128793,0,0.001
16,76,1305,20.7640496205788,0,0.001
16,78,1165,11.4543231952587,0,0.001
16,80,765,4.68121162662925,0,0
14,62,1854,14.0617484831066,0,0.011
14,64,1855,20.22725297505,0,0.004
14,66,1852,26.5822344217787,0,0.001
14,68,1582,31.9783524767965,0,0.001
14,70,1576,35.5214321654413,0,0
14,72,1437,35.6218442480484,0,0
14,74,1305,30.6747718101459,0,0
14,76,1027,21.436897337037,0,0
14,78,905,11.5783565717675,0,0
14,80,625,4.6603638717268,0,0
12,62,1436,14.3938938434635,0,0.002
12,64,1432,16.7712521651209,0,0.001
12,66,1298,19.6713037495028,0,0
12,68,1438,25.0073449745267,0,0
12,70,1299,31.5809316730023,0,0
12,72,1159,35.0338083637823,0,0
12,74,1159,31.7327728505245,0,0
12,76,765,22.590025261064,0,0
12,78,765,12.3309052987991,0,0
12,80,519,5.03885022229196,0,0
10,64,1158,16.24219788901,0,0
10,66,1019,15.3922966721304,0,0
10,68,1019,19.1581107547555,0,0
10,70,1019,27.2583299811014,0,0
10,72,1019,34.3084729501042,0,0
10,74,897,34.4085729922924,0,0
10,76,765,26.593869507,0,0
10,78,625,15.5420950366735,0,0
10,80,519,6.75938669758445,0,0
8,64,897,15.1026098732014,0,0
8,66,897,12.0359191359161,0,0
8,68,897,14.0266932520662,0,0
8,70,897,22.1453244057984,0,0
8,72,897,31.7631130093705,0,0
8,74,897,35.6495025433107,0,0
8,76,519,30.179641928222,0,0
8,78,519,18.984024464539,0,0
8,80,519,8.75236509789716,0,0
6,66,897,8.08153460937559,0,0
6,68,897,9.08929344808863,0,0
6,70,897,15.7361457218223,0,0
6,72,791,25.079236351243,0,0
6,74,651,30.690639516641,0,0
6,76,519,27.8283683695152,0,0
6,78,519,18.4506076526695,0,0
6,80,519,8.85640564409093,0,0
4,70,791,9.00894903051983,0,0
4,72,651,15.5121076018812,0,0
4,74,651,20.1796190226875,0,0
4,76,519,19.1942654296844,0,0
4,78,519,13.2076216085486,0,0
6,64,690,11.0586739462599,0,0
4,64,690,5.87937444284671,0,0
4,66,690,4.17233235373694,0,0
4,68,690,4.77774418996108,0,0
4,80,418,6.51627544397021,0,0
2,64,550,2.20815660767254,0,0
2,66,550,1.57443113556104,0,0
2,68,550,1.92134937368053,0,0
2,70,550,3.9244520733877,0,0
2,72,550,7.1631280536597,0,0
2,74,418,9.74191676583557,0,0
2,76,418,9.60229848955816,0,0
2,78,418,6.79022204669566,0,0
2,80,276,3.41959674758506,0,0
0,64,408,0.580663446272001,0,0
0,66,408,0.422098961644084,0,0
0,68,550,0.572342927892731,0,0
0,70,550,1.26225307847652,0,0
0,72,418,2.40754387861996,0,0
0,74,418,3.39764775143036,0,0
0,76,276,3.43664535871301,0,0
0,78,276,2.48182008025165,0,0
0,80,276,1.26997095783298,0,0
38,16,10947,119.134050685485,0.158,0.049
38,18,11381,149.854457404385,0.256,0.052
38,20,11041,170.868226090849,0.254,0.044
36,12,7865,77.8637686197293,0.009,0.011
36,14,8976,81.6069328200339,0.027,0.023
36,16,10003,101.596190474196,0.071,0.033
36,18,10176,123.024726194097,0.125,0.035
36,20,10348,134.993963623275,0.13,0.031
36,22,10148,141.466336540765,0.09,0.025
36,24,10406,152.37545476886,0.065,0.023
34,8,5731,108.50946871084,0.002,0.003
34,10,6553,92.8030640100806,0.001,0.003
34,12,6642,84.1288533841293,0.003,0.004
34,14,7241,89.9067543733192,0.008,0.008
34,16,7745,104.99444075222,0.023,0.013
34,18,8317,117.455804395836,0.042,0.015
34,20,9153,121.4320955774,0.045,0.014
34,22,9849,122.286864820088,0.032,0.012
34,24,9852,129.569230870513,0.023,0.013
34,26,9889,145.077458425785,0.028,0.018
32,8,5180,99.6128551122677,0,0.001
32,10,5455,96.5345298133799,0,0.001
32,12,5602,99.7130583269609,0.001,0.001
32,14,6493,111.173322787926,0.002,0.002
32,16,7187,122.101501640613,0.006,0.003
32,18,7491,124.481091103941,0.01,0.004
32,20,7626,119.841694492395,0.01,0.004
32,22,8464,115.961709604326,0.008,0.004
32,24,9018,120.525895351691,0.006,0.006
32,26,8749,134.114515692664,0.009,0.009
32,28,8787,148.243773867721,0.018,0.012
30,6,3871,73.6317801198339,0,0
30,8,4395,81.8063636226403,0,0
30,10,4930,91.6047302139688,0,0
30,12,4969,108.570181419498,0,0
30,14,5657,127.300009965252,0.001,0
30,16,5394,134.287996649038,0.001,0.001
30,18,6514,126.06297343471,0.002,0.001
30,20,6372,112.759911729256,0.002,0.002
30,22,7583,105.800194343412,0.002,0.002
30,24,7587,110.203184825287,0.003,0.004
30,26,7866,122.96825946688,0.006,0.006
30,28,7370,133.641522071027,0.012,0.008
30,30,6294,134.102011104539,0.014,0.009
28,6,3488,46.3909246108024,0,0
28,8,3576,57.6592351507706,0,0
28,10,4017,74.8463462322807,0,0
28,12,3870,100.413321354905,0,0
28,14,4273,123.378480249781,0,0
28,16,4153,127.650662909621,0,0
28,18,4989,112.884530472068,0,0.001
28,20,5522,94.4946515560166,0.001,0.003
28,22,5800,86.1490739502643,0.003,0.006
28,24,6331,91.3054343886178,0.006,0.008
28,26,6211,104.011487297342,0.01,0.009
28,28,6147,113.152726110015,0.015,0.01
28,30,5461,111.925102884778,0.017,0.01
26,6,3051,25.0719214769968,0,0
26,8,3220,34.5659604434212,0,0
26,10,3573,51.498029826367,0,0
26,12,3570,76.3984790358919,0,0
26,14,3064,97.8832264712538,0,0
26,16,3478,101.948278025265,0,0.001
26,18,3986,88.8066454696415,0.001,0.003
26,20,4431,72.2372996508653,0.004,0.009
26,22,4710,64.7072812609043,0.011,0.017
26,24,5104,69.2645083375713,0.017,0.019
26,26,5413,80.3953809831471,0.019,0.017
26,28,5172,88.736213998541,0.019,0.015
26,30,5172,89.1177646187722,0.019,0.013
24,6,2393,12.7954599199932,0,0
24,8,2661,17.85917395512,0,0
24,10,2793,29.2323839861235,0,0
24,12,2927,46.7696125937926,0,0
24,14,3032,62.9928253083886,0,0.001
24,16,3434,68.9637452042264,0,0.003
24,18,3733,63.8023729814594,0.002,0.009
24,20,3727,54.9268537826585,0.01,0.022
24,22,4051,50.5386935120369,0.026,0.037
24,24,4328,53.7491564256972,0.034,0.039
24,26,4719,61.53066001324,0.027,0.029
24,28,4195,67.4133469082701,0.018,0.02
24,30,4200,67.5665706373766,0.014,0.016
22,6,2263,9.1083350862496,0,0
22,8,2402,9.25355509638955,0,0
22,10,2542,13.938412110492,0,0
22,12,2656,23.1565516618312,0,0
22,14,2648,33.8015743271223,0,0.001
22,16,3180,41.7240315543577,0,0.005
22,18,3071,44.6874089057015,0.003,0.015
22,20,3208,43.9721736561624,0.015,0.034
22,22,3629,43.488202818272,0.036,0.052
22,24,4286,46.3913986670028,0.044,0.053
22,26,3606,51.5265182088653,0.03,0.038
22,28,3503,54.0778895189122,0.013,0.023
22,30,3653,50.9321475708675,0.007,0.015
20,6,1848,11.3163251277531,0,0
20,8,1848,7.614449980614,0,0
20,10,1848,7.02637869591741,0,0
20,12,2010,10.1624704045884,0,0.001
20,14,2260,16.5159209640188,0,0.003
20,16,2630,24.4162925858333,0,0.008
20,18,2894,31.0658652890154,0.002,0.019
20,20,2894,34.6453270493111,0.011,0.037
20,22,3174,36.9755865145481,0.027,0.053
20,24,3453,41.2419660572945,0.034,0.05
20,26,2802,46.4465489320436,0.022,0.034
20,28,2943,47.2877306484512,0.008,0.019
20,30,2944,41.0405119497763,0.003,0.011
18,8,1174,10.2499392802545,0,0
18,10,1453,6.08636702202206,0,0
18,12,1592,5.22061546006326,0,0.001
18,14,1730,8.11202984092313,0,0.003
18,16,1923,13.7930885962118,0,0.008
18,18,2315,19.7139154694439,0.001,0.018
18,20,2210,23.907485777081,0.004,0.032
18,22,2346,27.9508959646072,0.011,0.042
18,24,2250,34.5438390710125,0.015,0.036
18,26,2410,41.6850577388026,0.011,0.022
18,28,2552,43.0173891306048,0.005,0.012
16,10,894,7.31918824629573,0,0
16,12,1173,3.87262853614243,0,0
16,14,1412,4.05148556807859,0,0.003
16,16,1366,6.84816104613039,0,0.007
16,18,1504,10.4843486782256,0,0.014
16,20,1398,14.0653131408288,0.001,0.023
16,22,1434,19.1696708812148,0.003,0.026
16,24,1430,27.3544897542379,0.005,0.019
16,26,1855,35.5848449656598,0.004,0.011
14,12,750,3.24132091728362,0,0
14,14,1030,2.00604553695125,0,0.002
14,16,1125,2.94140054366648,0,0.005
14,18,1119,5.10822531401007,0,0.009
14,20,1012,8.53850818342926,0,0.011
14,22,1012,14.1564590441299,0.001,0.01
14,24,1012,21.8273227233248,0.001,0.007
12,16,842,1.47890541401384,0,0.002
12,18,842,3.53223915971574,0,0.003
12,20,874,7.65192643193825,0,0.003
32,0,2806,45.5510385140442,0,0
32,2,3185,71.5513342575617,0,0
30,0,2277,27.7594689113227,0,0
30,2,2940,45.4166613035386,0,0
30,4,3359,61.6606517774411,0,0
28,0,1866,13.9254580579105,0,0
28,2,2525,24.1807412894528,0,0
28,4,3219,35.5546405982201,0,0
26,0,1841,6.88422600886549,0,0
26,2,2225,11.9991113641606,0,0
26,4,2505,18.1657849530768,0,0
24,0,1319,6.45291988640764,0,0
24,2,1559,8.85686127038352,0,0
24,4,2262,10.6532646803301,0,0
22,0,779,10.7511139839914,0,0
22,2,1336,12.4960806858106,0,0
22,4,1860,11.2294021215963,0,0
20,0,527,15.9596945631483,0,0
20,2,666,18.465864164407,0,0
20,4,1165,16.0810894013076,0,0
18,0,387,17.6553596606112,0,0
18,2,387,21.7119450720886,0,0
18,4,526,20.7453762905109,0,0
18,6,902,16.0065629096967,0,0
16,0,247,14.6410570976234,0,0
16,2,247,20.0781940417255,0,0
16,4,387,22.118082738696,0,0
16,6,526,19.5930134729246,0,0
16,8,902,13.578879348839,0,0
14,0,247,9.48192983183907,0,0
14,2,247,15.029333635088,0,0
14,4,247,19.1352930661141,0,0
14,6,247,18.9293969620601,0,0
14,8,517,13.9821341253582,0,0
14,10,517,7.54711507631056,0,0
