endX,endY,Count,WeightedCount,WeightedExpectedGoals,GoalProbability
30,0,3916,48.4805695789061,0.002,0.002
30,2,4828,85.5309836078436,0.011,0.003
30,4,5778,119.218623839002,0.03,0.004
28,0,3203,35.8030477314835,0.001,0.001
28,2,3729,61.6087133426421,0.004,0.002
28,4,4387,85.3254682833236,0.009,0.003
28,6,4945,100.304616279073,0.016,0.004
28,8,5638,105.988917654103,0.018,0.005
26,0,2922,30.0691965638736,0,0.001
26,2,3569,46.9791932558358,0.001,0.001
26,4,3834,60.3588943761763,0.002,0.002
26,6,4114,67.890830385769,0.003,0.002
26,8,4807,72.048652161925,0.004,0.002
26,10,5084,75.7799852267808,0.004,0.003
26,12,5366,78.7841527895612,0.003,0.003
24,0,2288,34.2283178037052,0,0
24,2,2770,48.0485721151187,0,0
24,4,3292,54.2591081843329,0,0
24,6,3694,52.6578194492805,0,0.001
24,8,3969,49.4494189431204,0.001,0.001
24,10,3968,50.5395393887717,0.001,0.001
24,12,4528,55.2715365546597,0,0.001
22,0,1889,41.5420101303726,0,0
22,2,2267,56.2093365161605,0,0
22,4,2516,59.2008731183199,0,0
22,6,2741,50.8900600503653,0,0
22,8,3020,40.0875550331806,0,0
22,10,3696,35.3252503351918,0,0
22,12,3977,37.00504391172,0,0
22,14,3997,38.8782534215989,0,0
20,0,1813,43.9737215083787,0,0
20,2,2129,59.4587492064493,0,0
20,4,2266,61.6099465636981,0,0
20,6,2404,51.1657973360389,0,0
20,8,2654,37.6719594216228,0,0
20,10,2931,29.3302648836533,0,0
20,12,3221,26.6836380073577,0,0
20,14,3099,25.1812883049744,0,0
18,0,727,38.5600324249672,0,0
18,2,1144,52.3595816540754,0,0
18,4,1600,54.2063454156979,0,0
18,6,1867,45.6046249535403,0,0
18,8,1736,35.0240707232024,0,0
18,10,1736,27.7387761393094,0,0
18,12,2260,22.8563543631287,0,0
18,14,2288,18.0615510276853,0,0
16,0,727,27.4066597941937,0,0
16,2,727,37.2063391090093,0,0
16,4,983,38.581925526384,0,0
16,6,1246,33.6671786840367,0,0
16,8,1383,28.6280245717486,0,0
16,10,1383,25.3430326878702,0,0
16,12,1383,21.5007699243512,0,0
16,14,1680,16.1552229283436,0,0
14,0,727,15.2603400487439,0,0
14,2,727,20.6532008371971,0,0
14,4,865,21.5571871206999,0,0
14,6,983,19.8947112263537,0,0
14,8,1105,19.3361982693551,0,0
14,10,1105,20.0249707814325,0,0
14,12,1127,19.6259613421386,0,0
14,14,1127,17.1141227085912,0,0
12,0,727,6.43543480137197,0,0
12,2,727,8.68717975430321,0,0
12,4,865,9.21385251810899,0,0
